median_income,median_rent,total_pop,male_white_20_24,male_white_25_29,male_white_30_34,female_white_20_24,female_white_25_29,female_white_30_34,year,prop_white_20_34,TRACT,FIPS,YEAR,25% Quartile of Appraised Value,75% Quartile of Appraised Value,Count of Appraisals,Mean Appraised Value,Median Appraised Value,zhvi
75179,1552,1882,133,122,46,127,75,39,2014,0.2879914984059511,22071011900,22071,2014,362500.0,520000.0,24.0,466300.0,445000.0,150538.2004081789
50288,1267,2023,18,166,110,41,110,68,2014,0.2535837864557588,22071012300,22071,2014,265000.0,375000.0,31.0,316000.0,310000.0,150538.2004081789
60833,800,1750,24,9,32,20,17,31,2014,0.076,22071012400,22071,2014,251000.0,642000.0,20.0,393600.0,319000.0,150538.2004081789
25806,923,2083,8,11,23,19,38,37,2014,0.06529044647143543,22071004500,22071,2014,154000.0,359000.0,24.0,296700.0,272500.0,150538.2004081789
34227,762,3508,57,0,26,13,0,16,2014,0.03192702394526796,22071000615,22071,2014,107000.0,175000.0,15.0,137000.0,142000.0,150538.2004081789
58594,962,4200,45,23,67,10,24,9,2014,0.04238095238095238,22071000616,22071,2014,157000.0,249000.0,37.0,203300.0,172000.0,150538.2004081789
31475,869,3734,56,51,26,22,80,0,2014,0.06293519014461703,22071000617,22071,2014,93000.0,126000.0,13.0,109200.0,113000.0,150538.2004081789
98661,733,3924,35,25,39,20,32,7,2014,0.040265035677879715,22071000618,22071,2014,185000.0,270000.0,59.0,249000.0,235000.0,150538.2004081789
34464,984,4465,0,0,0,0,0,0,2014,0.0,22071001746,22071,2014,100000.0,131000.0,22.0,108100.0,112500.0,150538.2004081789
22599,943,3394,0,0,41,0,0,0,2014,0.012080141426045963,22071001745,22071,2014,130000.0,163900.0,22.0,147000.0,144500.0,150538.2004081789
45195,1109,4892,0,0,0,6,0,0,2014,0.0012264922322158627,22071001748,22071,2014,108000.0,150500.0,28.0,135300.0,123800.0,150538.2004081789
36336,835,1036,7,25,22,11,24,75,2014,0.1583011583011583,22071013600,22071,2014,257000.0,298000.0,17.0,308000.0,265000.0,150538.2004081789
50156,1017,1738,0,118,27,25,178,152,2014,0.28768699654775604,22071014200,22071,2014,276000.0,490000.0,45.0,378300.0,345000.0,150538.2004081789
37188,885,1980,15,51,63,29,19,84,2014,0.1318181818181818,22071014400,22071,2014,397000.0,515000.0,23.0,467300.0,420000.0,150538.2004081789
47656,1022,1589,14,96,59,12,153,71,2014,0.2548772813089994,22071001200,22071,2014,242000.0,385000.0,27.0,339800.0,340000.0,150538.2004081789
30437,911,2460,0,0,4,0,29,5,2014,0.015447154471544716,22071000400,22071,2014,105000.0,284500.0,16.0,194200.0,207500.0,150538.2004081789
64844,1112,2340,63,50,62,76,113,93,2014,0.1952991452991453,22071012800,22071,2014,320000.0,515000.0,26.0,417800.0,398500.0,150538.2004081789
40500,1258,1611,0,0,0,0,9,0,2014,0.00558659217877095,22071001741,22071,2014,116600.0,139000.0,16.0,122600.0,122000.0,150538.2004081789
38701,908,1690,14,74,145,25,65,58,2014,0.2254437869822485,22071001100,22071,2014,215000.0,375000.0,18.0,288700.0,285000.0,150538.2004081789
59775,1311,1580,11,131,45,17,111,75,2014,0.2468354430379747,22071011200,22071,2014,293000.0,355000.0,28.0,330600.0,331500.0,150538.2004081789
100625,1097,1959,34,72,35,36,56,37,2014,0.13782542113323124,22071009000,22071,2014,721500.0,1662500.0,24.0,1141500.0,932500.0,150538.2004081789
59167,984,1594,0,107,19,41,64,67,2014,0.18695106649937265,22071009600,22071,2014,300000.0,435000.0,33.0,388500.0,370000.0,150538.2004081789
54886,1255,1887,39,109,82,50,181,22,2014,0.2559618441971383,22071010100,22071,2014,385000.0,750000.0,19.0,559000.0,515000.0,150538.2004081789
43500,980,1299,16,44,29,5,43,54,2014,0.147036181678214,22071010600,22071,2014,380000.0,575000.0,18.0,463700.0,428000.0,150538.2004081789
